!!			
!!  偵察戦力緊急展開！「光」作戦 (2017年 冬)			
!!			
だい22ごうかいぼうかん	第二十二号海防艦	固有一般	丁型海防艦 11番艦
だい24ごうかいぼうかん	第二十四号海防艦	固有一般	丁型海防艦 12番艦
だい26ごうかいぼうかん	第二十六号海防艦	固有一般	丁型海防艦 13番艦
だい28ごうかいぼうかん	第二十八号海防艦	固有一般	丁型海防艦 14番艦
だい30ごうかいぼうかん	第三十号海防艦	固有一般	丁型海防艦 15番艦
まつ	松	固有一般	松型駆逐艦 1番艦
たけ	竹	固有一般	松型駆逐艦 2番艦
うめ	梅	固有一般	松型駆逐艦 3番艦
もも	桃	固有一般	松型駆逐艦 4番艦
くわ	桑	固有一般	松型駆逐艦 5番艦
きり	桐	固有一般	松型駆逐艦 6番艦
すぎ	杉	固有一般	松型駆逐艦 7番艦
まき	槇	固有一般	松型駆逐艦 8番艦
もみ	樅	固有一般	松型駆逐艦 9番艦
かし	樫	固有一般	松型駆逐艦 10番艦
かや	榧	固有一般	松型駆逐艦 11番艦
なら	楢	固有一般	松型駆逐艦 12番艦
さくら	櫻	固有一般	松型駆逐艦 13番艦
やなぎ	柳	固有一般	松型駆逐艦 14番艦
つばき	椿	固有一般	松型駆逐艦 15番艦
ひのき	檜	固有一般	松型駆逐艦 16番艦
かえで	楓	固有一般	松型駆逐艦 17番艦
けやき	欅	固有一般	松型駆逐艦 18番艦
せんとるいす	St.Louis	固有一般	St.Louis型軽巡洋艦 2番艦 CL-49
せんとるいす	セントルイス	固有一般	St.Louis型軽巡洋艦 2番艦 CL-49
へれな	ヘレナ	固有一般	St.Louis型軽巡洋艦 2番艦 CL-50
へれな	Helena	固有一般	St.Louis型軽巡洋艦 2番艦 CL-50
さうすだこた	South Dakota	固有一般	South Dakota型戦艦 1番艦 BB-57
さうすだこた	サウスダコタ	固有一般	South Dakota型戦艦 1番艦 BB-57
いんでぃあな	Indiana	固有一般	South Dakota型戦艦 2番艦 BB-58
いんでぃあな	インディアナ	固有一般	South Dakota型戦艦 2番艦 BB-58
まさちゅーせっつ	Massachusetts	固有一般	South Dakota型戦艦 3番艦 BB-59
まさちゅーせっつ	マサチューセッツ	固有一般	South Dakota型戦艦 3番艦 BB-59
あらばま	Alabama	固有一般	South Dakota型戦艦 4番艦 BB-60
あらばま	アラバマ	固有一般	South Dakota型戦艦 4番艦 BB-60
よーくたうん	Yorktown	固有一般	Yorktown型航空母艦 1番艦 CV-5
よーくたうん	ヨークタウン	固有一般	Yorktown型航空母艦 1番艦 CV-5
えんたーぷらいず	Enterprise	固有一般	Yorktown型航空母艦 2番艦 CV-6
えんたーぷらいず	エンタープライズ	固有一般	Yorktown型航空母艦 2番艦 CV-6
ほーねっと	Hornet	固有一般	Yorktown型航空母艦 3番艦 CV-8
ほーねっと	ホーネット	固有一般	Yorktown型航空母艦 3番艦 CV-8
!!			
!!  護衛せよ！船団輸送作戦 (2020年 晩秋～冬)			
!!			
にゅーきゃっする	Newcastle	固有一般	Town型軽巡洋艦 C76
にゅーきゃっする	ニューキャッスル	固有一般	Town型軽巡洋艦 C76
さうさんぷとん	Southampton	固有一般	Town型軽巡洋艦 C83
さうさんぷとん	サウサンプトン	固有一般	Town型軽巡洋艦 C83
しぇふぃーるど	Sheffield	固有一般	Town型軽巡洋艦 C24
しぇふぃーるど	シェフィールド	固有一般	Town型軽巡洋艦 C24
ぐらすごー	Glasgow	固有一般	Town型軽巡洋艦 C21
ぐらすごー	グラスゴー	固有一般	Town型軽巡洋艦 C21
ばーみんがむ	Birmingham	固有一般	Town型軽巡洋艦 C19
ばーみんがむ	バーミンガム	固有一般	Town型軽巡洋艦 C19
りばぷーる	Liverpool	固有一般	Town型軽巡洋艦 C11
